11623,JR大阪環状線,osakakanjo_line,jr,JR大阪環状線,おおさかかんじょうせん,11623
11624,JR桜島線,sakurajima_line,jr,JR桜島線,さくらじません,11624
11625,JR東西線,tozai_line,jr,JR東西線,とうざいせん,11625
11626,JR阪和線,hanwa_line,jr,JR阪和線,はんわせん,11626
11628,JR関西空港線,kansaikuko_line,jr,JR関西空港線,かんさいくうこうせん,11628
11629,JR福知山線,fukuchiyama_line,jr,JR福知山線,ふくちやません,11629
11631,JR赤穂線,ako_line,jr,JR赤穂線,あこうせん,11631
11632,JR加古川線,kakogawa_line,jr,JR加古川線,かこがわせん,11632
11633,JR姫新線,kishin_line,jr,JR姫新線,きしんせん,11633
11635,JR播但線,bantan_line,jr,JR播但線,ばんたんせん,11635
11636,JR和歌山線,wakayama_line,jr,JR和歌山線,わかやません,11636
11637,JR桜井線,sakurai_line,jr,JR桜井線,さくらいせん,11637
11641,JRおおさか東線,osakahigashi_line,jr,JRおおさか東線,おおさかひがしせん,11641
11703,JR伯備線,hakubi_line,jr,JR伯備線,はくびせん,11703
11704,JR因美線,imbi_line,jr,JR因美線,いんびせん,11704
11705,JR境線,sakai_line,jr,JR境線,さかいせん,11705
11706,JR木次線,kisuki_line,jr,JR木次線,きすきせん,11706
11707,JR三江線,sanko_line,jr,JR三江線,さんこうせん,11707
11708,JR山口線,yamaguchi_line,jr,JR山口線,やまぐちせん,11708
11709,JR宇野線,uno_line,jr,JR宇野線,うのせん,11709
11710,JR本四備讃線,honshibisan_line,jr,JR本四備讃線,ほんしびさんせん,11710
11713,JR吉備線,kibi_line,jr,JR吉備線,きびせん,11713
11714,JR芸備線,geibi_line,jr,JR芸備線,げいびせん,11714
11715,JR津山線,tsuyama_line,jr,JR津山線,つやません,11715
11716,JR呉線,kure_line,jr,JR呉線,くれせん,11716
11717,JR可部線,kabe_line,jr,JR可部線,かべせん,11717
11720,JR福塩線,fukuen_line,jr,JR福塩線,ふくえんせん,11720
11721,JR宇部線,ube_line,jr,JR宇部線,うべせん,11721
11722,JR美祢線,mine_line,jr,JR美祢線,みねせん,11722
11723,JR小野田線,onoda_line,jr,JR小野田線,おのだせん,11723
11724,JR岩徳線,gantoku_line,jr,JR岩徳線,がんとくせん,11724
11801,JR土讃線,dosan_line,jr,JR土讃線,どさんせん,11801
11802,JR高徳線,kotoku_line,jr,JR高徳線,こうとくせん,11802
11803,JR徳島線,tokushima_line,jr,JR徳島線,とくしません,11803
11804,JR牟岐線,mugi_line,jr,JR牟岐線,むぎせん,11804
11805,JR鳴門線,naruto_line,jr,JR鳴門線,なるとせん,11805
11806,JR予讃線,yosan_line,jr,JR予讃線,よさんせん,11806
11807,JR予讃・内子線,yosan_uchiko_line,jr,JR予讃・内子線,よさん・うちこせん,11807
11808,JR予土線,yodo_line,jr,JR予土線,よどせん,11808
11901,JR博多南線,hakataminami_line,jr,JR博多南線,はかたみなみせん,11901
11902,JR鹿児島本線,kagoshimahonsen,jr,JR鹿児島本線,かごしまほんせん,11902
11905,JR長崎本線,nagasakihonsen,jr,JR長崎本線,ながさきほんせん,11905
11906,JR日豊本線,nippouhonsen,jr,JR日豊本線,にっぽうほんせん,11906
11908,JR篠栗線,sasaguri_line,jr,JR篠栗線,ささぐりせん,11908
11909,JR筑肥線,chikuhi_line,jr,JR筑肥線,ちくひせん,11909
11910,JR筑豊本線,chikuhohonsen,jr,JR筑豊本線,ちくほうほんせん,11910
11913,JR久大本線,kyudaihonsen,jr,JR久大本線,きゅうだいほんせん,11913
11914,JR日田彦山線,hitahikosan_line,jr,JR日田彦山線,ひたひこさんせん,11914
11915,JR後藤寺線,gotoji_line,jr,JR後藤寺線,ごとうじせん,11915
11916,JR香椎線,kashii_line,jr,JR香椎線,かしいせん,11916
11918,JR佐世保線,sasebo_line,jr,JR佐世保線,させぼせん,11918
11921,JR唐津線,karatsu_line,jr,JR唐津線,からつせん,11921
11922,JR大村線,omura_line,jr,JR大村線,おおむらせん,11922
11923,JR豊肥本線,hohihonsen,jr,JR豊肥本線,ほうひほんせん,11923
11924,JR三角線,sankaku_line,jr,JR三角線,さんかくせん,11924
11925,JR肥薩線,hisatsu_line,jr,JR肥薩線,ひさつせん,11925
11927,JR宮崎空港線,miyazakikuko_line,jr,JR宮崎空港線,みやざきくうこうせん,11927
11928,JR日南線,nichinan_line,jr,JR日南線,にちなんせん,11928
11929,JR吉都線,kitto_line,jr,JR吉都線,きっとせん,11929
11930,JR指宿枕崎線,ibusukimakurazaki_line,jr,JR指宿枕崎線,いぶすきまくらざきせん,11930
21001,東武東上線,tojo_line,pr,東武東上線,とうじょうせん,21001
21002,東武伊勢崎線,isesaki_line,pr,東武伊勢崎線,いせさきせん,21002
21003,東武日光線,tobunikko_line,pr,東武日光線,にっこうせん,21003
